ID,Full Name,GPA,Major,Honor Student,State Resident,Tuition,Financial Aid,Cost,First Name,Last Name
23,Rose Rios,3.97,Economics,Yes,Yes,20000,11038,8962,Rose,Rios
55,Ian Brown,1.44,Political Science,No,Yes,20000,6977,13023,Ian,Brown
54,Stanley Dean,3.75,Philosophy,Yes,Yes,20000,11481,8519,Stanley,Dean
19,Stephanie Henderson,1.86,Mathematics,No,Yes,20000,6373,13627,Stephanie,Henderson
81,Angela Mora,3.86,Physics,Yes,Yes,20000,12031,7969,Angela,Mora
60,Mark Martin,1.47,Chemistry,No,Yes,20000,12477,7523,Mark,Martin
47,Jennifer Perkins,2.88,English,No,Yes,20000,14608,5392,Jennifer,Perkins
11,William Stewart,1.27,Biology,No,Yes,20000,9349,10651,William,Stewart
34,Eric Moore,3.4,Spanish,No,Yes,20000,10785,9215,Eric,Moore
70,Kenneth Rollins,2.37,Art,No,Yes,20000,9461,10539,Kenneth,Rollins
33,Robert Gonzalez,3.63,History,Yes,Yes,20000,12805,7195,Robert,Gonzalez
98,Donald Blevins,3.52,Theatre,Yes,Yes,20000,12147,7853,Donald,Blevins
14,Rachel Salinas,2.7,Business,No,Yes,20000,11405,8595,Rachel,Salinas
35,Sandra Jones,3.57,Chemistry,Yes,Yes,20000,12543,7457,Sandra,Jones
90,Stephanie Stevenson,2.0,English,No,Yes,20000,13431,6569,Stephanie,Stevenson
43,Tamara Lowe,2.65,Biology,No,Yes,20000,5761,14239,Tamara,Lowe
57,Angela Oneill ,2.58,Spanish,No,Yes,20000,7064,12936,Angela,Oneill 
16,Kari Estrada,3.75,Art,Yes,Yes,20000,12814,7186,Kari,Estrada
39,Patrick Thomas,1.98,History,No,Yes,20000,12634,7366,Patrick,Thomas
89,Derrick Jones,1.38,Philosophy,No,No,30000,14396,15604,Derrick,Jones
73,Rebecca Kelly,1.6,Mathematics,No,No,30000,14502,15498,Rebecca,Kelly
12,Jonathon Thomas,1.39,Physics,No,No,30000,12411,17589,Jonathon,Thomas
82,Peter Hansen,2.94,Chemistry,No,No,30000,7489,22511,Peter,Hansen
62,Kimberly Brown,3.7,English,Yes,No,30000,12401,17599,Kimberly,Brown
45,Chase Sanders,3.11,Biology,No,No,30000,5594,24406,Chase,Sanders
79,Jill Lopez,2.75,Spanish,No,No,30000,10873,19127,Jill,Lopez
94,Michael Miller,3.91,Art,Yes,No,30000,13234,16766,Michael,Miller
36,Jose Barnes,3.33,History,No,No,30000,13846,16154,Jose,Barnes
71,Ruben Price,2.03,Theatre,No,No,30000,9704,20296,Ruben,Price
96,Jamie Knight,1.65,Business,No,No,30000,9843,20157,Jamie,Knight
77,Robert Davidson,3.26,Chemistry,No,No,30000,8210,21790,Robert,Davidson
84,Megan Brown,2.19,English,No,No,30000,5350,24650,Megan,Brown
75,Christopher Garrison,3.32,Biology,No,No,30000,12956,17044,Christopher,Garrison
